feedback_id,created_at,channel,account_id,rating,text
FB-00009,2026-01-05 08:05:31,community,ACC-0464,,"setting up the workspace was confusing. also, it wants to manage access through google workspace, is sso on the roadmap."
FB-00003,2026-01-05 08:55:23,sales_call,ACC-0137,,"Call notes (Green Works 44): the office manager said ""Offboarding users by hand is a compliance risk, we need SCIM."" Otherwise very happy with the product."
FB-00001,2026-01-05 10:25:30,app_store,ACC-0436,4.0,"Dark mode please, the white screen hurts my eyes. Is this on the roadmap?"
FB-00008,2026-01-05 10:36:03,community,ACC-0241,,feedback: please let me mute notifications for specific calendars.
FB-00005,2026-01-05 15:08:50,community,ACC-0417,,+1 for this: An integration with Slack is the main thing missing for our team. Is this on the roadmap?
FB-00011,2026-01-05 15:50:17,nps_survey,ACC-0292,3.0,"No guidance during setup, I did not know where to start."
FB-00004,2026-01-05 18:13:38,support_ticket,ACC-0122,,"Tempo is central to how we plan our week. A Microsoft Teams bot that posts the daily agenda would be amazing. Also, performance on my odler Android phone is terrible compared to the web version. Thanks!"
FB-00002,2026-01-05 19:04:08,nps_survey,ACC-0127,7.0,Please add a dark mode.
FB-00007,2026-01-05 20:31:10,support_ticket,ACC-0329,,"Hi team, Our team of 40 people relies on Tempo. I cannot turn off the daily digest emails."
FB-00006,2026-01-05 20:42:38,community,ACC-0098,,"Small thing, but Way too many email notifications, I am drowning in reminders."
FB-00010,2026-01-05 20:53:59,support_ticket,ACC-0580,,"Hi Tempo support, The onboarding never explains the difference between workspaces and teams. This is really frustrating. - Priya"
FB-00021,2026-01-06 07:47:53,sales_call,ACC-0156,,"Call notes (Lucky Media 84): the office manager said ""We need SAML single sign-on before we can roll out to more teams."" Expansion to 150 more seats depends on this."
FB-00017,2026-01-06 12:09:45,support_ticket,ACC-0301,,"Hi team, Our team of 40 people relies on Tempo. Please add a dark mode. Thanks in advance. - Omar"
FB-00020,2026-01-06 12:32:30,sales_call,ACC-0321,,"Call notes (Lucky Works 81): the security lead said ""Our security team requires SSO with Google Workspace."" They mentioned evaluating competitors."
FB-00015,2026-01-06 13:06:38,support_ticket,ACC-0497,,"Hi team, Performance on my tablet is terrible compared to the web version. Not happy about this. Thanks, Kate"
FB-00013,2026-01-06 14:14:33,app_store,ACC-0340,2.0,the mobile app is so slow it is unusable on older phones. this is really frustrating.
FB-00012,2026-01-06 15:11:49,community,ACC-0586,,Bug report: Every event from Google now shows up twice. Very annoying.
