account_id,company,plan,seats,mrr,region,industry
ACC-0001,Green Studio,pro,3,36.0,APAC,Agency
ACC-0002,Green Capital,business,19,475.0,APAC,Finance
ACC-0003,Nova Logistics,pro,2,24.0,North America,Software
ACC-0004,Harbor Systems,free,2,0.0,LATAM,Agency
ACC-0005,Iron Works,free,1,0.0,Europe,Software
ACC-0006,Summit Robotics,business,17,425.0,LATAM,Finance
ACC-0007,Iron Ventures,free,1,0.0,APAC,Retail
ACC-0008,Bright Foods,pro,4,48.0,North America,Education
ACC-0009,Iron Robotics,pro,3,36.0,Europe,Agency
ACC-0010,Clear Ventures,free,1,0.0,APAC,Software
ACC-0011,Harbor Partners,free,1,0.0,Europe,Agency
ACC-0012,Bold Works,free,1,0.0,APAC,Software
ACC-0013,Lucky Capital,free,2,0.0,LATAM,Nonprofit
ACC-0014,Harbor Studio,free,1,0.0,Europe,Agency
ACC-0015,Summit Digital,free,1,0.0,North America,Agency
ACC-0016,Bold Foods,pro,4,48.0,LATAM,Education
ACC-0017,Nova Works,enterprise,266,10108.0,Europe,Agency
ACC-0018,Iron Media,pro,2,24.0,APAC,Software
ACC-0019,Harbor Digital,pro,5,60.0,APAC,Healthcare
ACC-0020,Urban Capital,enterprise,117,4446.0,APAC,Software
ACC-0021,Lucky Partners,free,1,0.0,Europe,Nonprofit
ACC-0022,Clear Robotics,free,1,0.0,Europe,Healthcare
ACC-0023,Maple Studio,pro,3,36.0,Europe,Retail
ACC-0024,Bold Health,free,1,0.0,Europe,Healthcare
ACC-0025,Silver Logistics,free,1,0.0,LATAM,Software
ACC-0026,Green Analytics,free,1,0.0,APAC,Agency
ACC-0027,Silver Digital,free,1,0.0,Europe,Retail
ACC-0028,Blue Robotics,business,18,450.0,Europe,Agency
ACC-0029,Urban Health,pro,3,36.0,Europe,Finance
ACC-0030,Silver Studio,free,1,0.0,North America,Nonprofit
ACC-0031,Iron Labs,free,2,0.0,Europe,Nonprofit
ACC-0032,Maple Works,free,2,0.0,Europe,Retail
ACC-0033,Summit Capital,free,1,0.0,North America,Nonprofit
ACC-0034,Urban Digital,free,1,0.0,Europe,Nonprofit
ACC-0035,Green Partners,pro,3,36.0,North America,Education
ACC-0036,Blue Works,free,1,0.0,Europe,Finance
ACC-0037,Green Ventures,free,2,0.0,APAC,Retail
ACC-0038,Quiet Studio,free,1,0.0,LATAM,Finance
ACC-0039,Iron Analytics 92,business,16,400.0,Europe,Finance
ACC-0040,Rapid Health,free,2,0.0,North America,Healthcare
ACC-0041,Nova Analytics,free,1,0.0,Europe,Healthcare
ACC-0042,Rapid Analytics 33,business,34,850.0,LATAM,Software
ACC-0043,Maple Ventures,free,1,0.0,APAC,Software
ACC-0044,Clear Foods,business,21,525.0,LATAM,Software
ACC-0045,Green Labs,pro,3,36.0,LATAM,Agency
ACC-0046,Quiet Health,pro,3,36.0,APAC,Nonprofit
ACC-0047,North Works 67,free,1,0.0,APAC,Software
ACC-0048,North Capital,free,1,0.0,APAC,Finance
ACC-0049,Bold Digital,free,2,0.0,APAC,Retail
ACC-0050,Harbor Logistics,business,20,500.0,LATAM,Education
ACC-0051,Nova Robotics,free,1,0.0,Europe,Retail
ACC-0052,Silver Systems,pro,4,48.0,Europe,Retail
ACC-0053,Quiet Digital,free,1,0.0,LATAM,Finance
ACC-0054,Clear Capital,free,2,0.0,LATAM,Education
ACC-0055,Nova Capital,free,2,0.0,APAC,Software
ACC-0056,Silver Ventures,free,2,0.0,Europe,Healthcare
ACC-0057,Nova Ventures,pro,3,36.0,North America,Healthcare
ACC-0058,Quiet Systems,free,1,0.0,Europe,Retail
ACC-0059,Urban Robotics,enterprise,162,6156.0,Europe,Finance
ACC-0060,Maple Analytics,pro,3,36.0,Europe,Healthcare
ACC-0061,Clear Partners,pro,2,24.0,Europe,Nonprofit
ACC-0062,Rapid Analytics,pro,3,36.0,APAC,Software
ACC-0063,Nova Health,pro,7,84.0,LATAM,Healthcare
ACC-0064,Silver Labs,free,1,0.0,APAC,Nonprofit
ACC-0065,Quiet Robotics,free,1,0.0,North America,Nonprofit
ACC-0066,Blue Logistics,free,1,0.0,Europe,Software
ACC-0067,Green Systems,free,1,0.0,Europe,Finance
ACC-0068,Iron Partners,free,2,0.0,Europe,Retail
ACC-0069,Bold Labs,enterprise,256,9728.0,LATAM,Agency
ACC-0070,Blue Ventures,free,1,0.0,North America,Nonprofit
ACC-0071,North Media,pro,3,36.0,LATAM,Healthcare
ACC-0072,Harbor Ventures,free,1,0.0,Europe,Nonprofit
ACC-0073,Maple Health,business,25,625.0,LATAM,Healthcare
ACC-0074,Summit Media,pro,7,84.0,Europe,Nonprofit
ACC-0075,Maple Foods 47,free,1,0.0,North America,Healthcare
ACC-0076,Iron Digital,business,11,275.0,APAC,Nonprofit
ACC-0077,Iron Partners 31,business,36,900.0,North America,Software
ACC-0078,Maple Foods 92,business,16,400.0,LATAM,Education
ACC-0079,Green Capital 74,pro,3,36.0,APAC,Education
ACC-0080,Quiet Logistics,free,1,0.0,North America,Education
ACC-0081,Harbor Foods,free,1,0.0,APAC,Retail
ACC-0082,North Ventures 86,business,33,825.0,Europe,Finance
ACC-0083,North Robotics,pro,4,48.0,LATAM,Agency
ACC-0084,Iron Labs 48,free,1,0.0,North America,Healthcare
ACC-0085,Rapid Labs,business,20,500.0,APAC,Retail
ACC-0086,Quiet Works,pro,2,24.0,North America,Agency
ACC-0087,Lucky Works,pro,3,36.0,Europe,Healthcare
ACC-0088,Nova Works 29,free,2,0.0,North America,Software
ACC-0089,Clear Works,free,1,0.0,LATAM,Software
ACC-0090,Quiet Ventures,free,2,0.0,North America,Software
ACC-0091,Blue Analytics,free,2,0.0,APAC,Nonprofit
ACC-0092,Nova Studio 96,business,34,850.0,APAC,Education
ACC-0093,Iron Studio,free,1,0.0,LATAM,Software
ACC-0094,Iron Partners 88,free,1,0.0,LATAM,Nonprofit
ACC-0095,Rapid Robotics,free,1,0.0,APAC,Software
ACC-0096,Iron Media 94,pro,2,24.0,Europe,Nonprofit
ACC-0097,North Health,free,2,0.0,APAC,Software
ACC-0098,Bold Robotics,free,2,0.0,North America,Software
ACC-0099,Urban Foods 73,free,2,0.0,North America,Software
ACC-0100,Maple Foods 82,free,2,0.0,APAC,Finance
ACC-0101,Blue Capital 93,enterprise,368,13984.0,LATAM,Agency
ACC-0102,Green Robotics,pro,3,36.0,LATAM,Education
ACC-0103,Lucky Robotics,free,2,0.0,North America,Agency
ACC-0104,Lucky Foods,free,2,0.0,APAC,Education
ACC-0105,North Partners,business,22,550.0,LATAM,Agency
ACC-0106,Harbor Media,free,1,0.0,Europe,Retail
ACC-0107,Bright Works,pro,3,36.0,APAC,Healthcare
ACC-0108,Quiet Media 12,pro,3,36.0,APAC,Education
ACC-0109,Maple Logistics,free,1,0.0,APAC,Healthcare
